Channel,Url
Politics,https://flipboard.com/topic/politics
Business,https://flipboard.com/@thenewsdesk/business-nbfr4cs7z
Technology,https://flipboard.com/@thenewsdesk/technology-shjum1jiz
Sports,https://flipboard.com/@thenewsdesk/sports-kimf11q3z
Design,https://flipboard.com/@cbagger/photography-and-what-not-p84g0p07z
Living,https://flipboard.com/section/top-stories-in-living-m0hrl9o629l0iqmp
Food,https://flipboard.com/@foodandwine
Travel,https://flipboard.com/@bbctravel
Arts,https://flipboard.com/@bbcculture/art-47m2uda8z
Music,https://flipboard.com/@bbcculture/music-0b6qsagkz
